UG_COD,UG_DESC,UF
151911,IF DE PERNAMBUCO (AFOGADOS DA INGAZEIRA),PE
152004,INSTITUTO BENJAMIN CONSTANT-RJ,RJ
152005,INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ,RJ
152139,IFB - CAMPUS GAMA,DF
152140,IFB - CAMPUS TAGUATINGA NORTE,DF
152141,IFB - CAMPUS SAMAMBAIA,DF
152142,IFB - CAMPUS BRASÍLIA,DF
152143,IFB - CAMPUS TAGUATINGA CENTRO,DF
152420,INST. FED. DE SERGIPE/CAMPUS N.Sª DA GLÓRIA,SE
152426,INST. FED. DE SERGIPE/CAMPUS ESTÂNCIA,SE
152430,INST. FED. DE SERGIPE/CAMPUS ITABAIANA,SE
152711,INST. FED. DO RN / CAMPUS NATAL - CIDADE ALTA,RN
152756,INST. FED. DO RN / CAMPUS PARNAMIRIM,RN
152757,INSTITUTO FEDERAL DO RN - CAMPUS NOVA CRUZ,RN
152800,INST.FED.DE ALAGOAS/CAMPUS PENEDO,AL
152801,INST.FED.DE ALAGOAS/CAMPUS SANTANA DO IPANEMA,AL
152802,INST.FED.DE ALAGOAS/CAMPUS PIRANHAS,AL
152803,INST.FED.DE ALAGOAS/CAMPUS MURICI,AL
152804,INST.FED.DE ALAGOAS/CAMPUS SAO MIGUEL CAMPOS,AL
152805,INST.FED.DE ALAGOAS/CAMPUS ARAPIRACA,AL
153015,CENTRO FED.DE EDUCACAO TECNOL.DE MINAS GERAIS,MG
153019,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,PA
153031,UNIFESP-UNIVERSIDADE FEDERAL DE SAO PAULO,SP
153033,UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO - RN,RN
153037,UNIVERSIDADE FEDERAL DE ALAGOAS,AL
153038,UNIVERSIDADE FEDERAL DA BAHIA,BA
153045,UNIVERSIDADE FEDERAL DO CEARA,CE
153046,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,ES
153049,CENTRO UNIVERSITARIO NORTE DO ESPIRITO SANTO.,ES
153052,UNIVERSIDADE FEDERAL DE GOIAS,GO
153063,UNIVERSIDADE FEDERAL DO PARA,PA
153065,UNIVERSIDADE FEDERAL DA PARAIBA,PA
153079,UNIVERSIDADE FEDERAL DO PARANA,PA
153080,UNIVERSIDADE FEDERAL DE PERNAMBUCO,PE
153103,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,RN
153114,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,RS
