UG_COD,UG_COD_DESC,UF,REGIÃO
110629,110629 - PROG.FORTAL.PREV.COMB.CORRUP.GEST.PUBL.BRASIL,,
110680,110680 - SECRETARIA DE PORTOS/PR,,
110681,110681 - SECRETARIA DE PORTOS - OBRAS,,
110999,110999 - DEORF - DIFERENCA CAMBIAL,,
111415,111415 - FUNDO DO MINISTERIO DA DEFESA,,
112408,112408 - HOSPITAL DAS FORCAS ARMADAS,,
113201,113201 - COMISSAO NACIONAL DE ENERGIA NUCLEAR-SEDE,,
113202,113202 - COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN,,
113203,113203 - COMISSAO NACIONAL DE ENERGIA NUCLEAR-IEN,,
113204,113204 - COMISSÃO NACIONAL DE ENERGIA NUCLEAR-IRD,,
113205,113205 - COMISSAO NACIONAL DE ENERGIA NUCLEAR-CDTN,,
113206,113206 - INDUSTRIAS NUCLEARES DO BRASIL S/A - INB,,
113207,113207 - COMISSAO NACIONAL DE ENERGIA NUCLEAR-CRCN-CO,,
113208,113208 - NUCLEBRAS EQUIPAMENTOS PESADOS S/A,,
113209,113209 - CNEN-ORÇAMENTO E FINANÇAS,,
113210,113210 - COMISSÃO NACIONAL DE ENERGIA NUCLEAR-LAPOC,,
113211,113211 - COMISSAO NACIONAL DE ENERGIA NUCLEAR-CRCN-NE,,
113214,113214 - AGENCIA NACIONAL DE AVIACAO CIVIL,,
113215,113215 - FUNDO AEROVIÁRIO - ANAC,,
113216,113216 - REPRESENTAÇÃO REGIONAL RIO DE JANEIRO - ANAC,,
113217,113217 - REPRESENTAÇÃO REGIONAL SÃO PAULO_- ANAC,,
113218,113218 - NÚCLEO REG. DE AVIAÇÃO CIVIL DE RECIFE,,
113243,113243 - SUPERINT. INFRAESTRUTURA AEROPORTUÁRIA - ANAC,,
113245,113245 - SUPERINTENDÊNCIA DE GESTÃO DE PESSOAS - ANAC,,
113413,113413 - FUNDO DO SERVICO MILITAR,,
113601,113601 - INSTITUTO DE PESQUISA ECONOMICA APLICADA,,
113602,113602 - INSTITUTO DE PESQUISA ECONOMICA APLICADA,,
113605,113605 - CONTRATO DE EMPRÉSTIMO BID-1841/OC-BR,,
113801,113801 - DNOCS - CEST/PE - RECIFE-PE,,
113802,113802 - DEPARTAMENTO NAC. DE OBRAS CONTRA AS SECAS/UO,,
114601,114601 - FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ,,
114602,114602 - UNIDADE ESTADUAL DO IBGE EM RONDONIA,,
114603,114603 - UNIDADE ESTADUAL DO IBGE NO ACRE,,
114604,114604 - UNIDADE ESTADUAL DO IBGE NO AMAZONAS,,
114605,114605 - UNIDADE ESTADUAL DO IBGE EM RORAIMA,,
114606,114606 - UNIDADE ESTADUAL DO IBGE NO PARA,,
114607,114607 - UNIDADE ESTADUAL DO IBGE NO AMAPA,,
114608,114608 - UNIDADE ESTADUAL DO IBGE NO MARANHÃO,,
114609,114609 - UNIDADE ESTADUAL DO IBGE NO PIAUI,,
114610,114610 - UNIDADE ESTADUAL DO IBGE NO CEARA,,
114612,114612 - UNIDADE ESTADUAL DO IBGE NO RIO G. NORTE,,
114613,114613 - UNIDADE ESTADUAL DO IBGE NA PARAIBA,,
114614,114614 - UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO,,
114615,114615 - UNIDADE ESTADUAL DO IBGE EM ALAGOAS,,
114616,114616 - UNIDADE ESTADUAL DO IBGE EM SERGIPE,,
114617,114617 - UNIDADE ESTADUAL DO IBGE NA BAHIA,,
114618,114618 - UNIDADE ESTADUAL DO IBGE EM MINAS GERAIS,,
114619,114619 - UNIDADE ESTADUAL DO IBGE NO ESPIRITO SANTO,,
114620,114620 - UNIDADE ESTADUAL DO IBGE NO MATO GROSSO SUL,,
114621,114621 - COORDENACAO DE RECURSOS DE MATERIAIS,,
114622,114622 - UNIDADE ESTADUAL DO IBGE EM SAO PAULO,,
114623,114623 - UNIDADE ESTADUAL DO IBGE NO PARANA,,
114624,114624 - UNIDADE ESTADUAL DO IBGE EM SANTA CATARINA,,
114625,114625 - UNIDADE ESTADUAL DO IBGE NO RIO GRANDE DO SUL,,
114626,114626 - UNIDADE ESTADUAL DO IBGE NO MATO GROSSO,,
114627,114627 - UNIDADE ESTADUAL DO IBGE EM GOIAS,,
114629,114629 - UNIDADE ESTADUAL DO IBGE NO DISTRITO FEDERAL,,
114631,114631 - UNIDADE ESTADUAL DO IBGE NO RIO DE JANEIRO,,
114634,114634 - DIRETORIA DE INFORMATICA/IBGE,,
114635,114635 - DIRETORIA DE PESQUISA/IBGE,,
114636,114636 - DIRETORIA DE GEOCIENCIAS/IBGE,,
114637,114637 - CENTRO DOC. E DISSEMINACAO DA INFORMACAO/IBGE,,
114639,114639 - UNIDADE ESTADUAL DO IBGE EM TOCANTINS,,
114702,114702 - FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA,,
115406,115406 - EMPRESA BRASIL DE COMUNICACAO S.A,,
120001,120001 - GABINETE DO COMANDANTE DA AERONAUTICA,,
120002,120002 - SECRETARIA DE ECON. E FINANCAS DA AERONAUTICA,,
120003,120003 - VI COMANDO AEREO REGIONAL,,
120004,120004 - BASE AEREA DE BRASILIA,,
120005,120005 - PREFEITURA DE AERONAUTICA DE BRASILIA,,
120006,120006 - GRUPAMENTO DE APOIO DE BRASILIA,,
120008,120008 - PRIMEIRO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,,
120013,120013 - CENTRO DE LANCAMENTO DE ALCANTARA,,
120014,120014 - BASE AEREA DE FORTALEZA,,
120015,120015 - CENTRO DE LANCAMENTO DA BARREIRA DO INFERNO,,
120016,120016 - GRUPAMENTO DE INFRA-EST E APOIO DE S J CAMPOS,,
120017,120017 - II COMANDO AEREO REGIONAL,,
120018,120018 - BASE AEREA DE RECIFE,,
120019,120019 - HOSPITAL DE AERONAUTICA DE RECIFE,,
120020,120020 - PARQUE DE MATERIAL AERONAUTICO DE RECIFE,,
120021,120021 - TERCEIRO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,,
120023,120023 - BASE AEREA DE SALVADOR,,
120024,120024 - CENTRO DE INSTR. E ADAPTACAO DA AERONAUTICA,,
120025,120025 - ESCOLA PREPARATORIA DE CADETES DO AR,,
120026,120026 - PARQUE MATERIAL AERONAUTICO DE LAGOA SANTA,,
120027,120027 - BASE AEREA DE CAMPO GRANDE,,
120028,120028 - III COMANDO AEREO REGIONAL,,
120029,120029 - BASE AEREA DOS AFONSOS,,
120030,120030 - BASE AEREA DO GALEAO,,
120031,120031 - BASE AEREA DE SANTA CRUZ,,
120034,120034 - DEPOSITO CENTRAL INTENDENCIA,,
120035,120035 - CENTRO DE TRANSPORTE LOGÍSTICO DA AERONÁUTICA,,
120036,120036 - DEPARTAMENTO DE CONTROLE DO ESPACO AEREO,,
120038,120038 - DIRETORIA DE MATERIAL AERONAUTICO E BELICO,,
120039,120039 - GRUPAMENTO DE APOIO DO RIO DE JANEIRO,,
120040,120040 - HOSPITAL CENTRAL AERONAUTICA,,
120041,120041 - HOSPITAL DE AERONAUTICA DOS AFONSOS,,
120042,120042 - HOSPITAL DE FORCA AEREA DO GALEAO,,
120043,120043 - LABORATORIO QUIMICO-FARMACEUTICO DA AERONAUT.,,
120044,120044 - PAGADORIA DE INATIVOS E PENSIONISTAS DA AER.,,
120045,120045 - PREFEITURA DE AERONAUTICA DO GALEAO,,
120046,120046 - PARQUE DE MATERIAL AERONAUTICO DOS AFONSOS,,
120047,120047 - PARQUE DE MATERIAL BELICO DA AERONAUTICA,,
120048,120048 - PARQUE DE MAT. DE ELETRONICA DA AERONAUTICA,,
120049,120049 - PARQUE DE MATERIAL AERONAUTICO DO GALEAO,,
120052,120052 - SUBDIRETORIA DE PAGAMENTO DE PESSOAL/PAIS,,
120053,120053 - PREFEITURA DE AERONAUTICA DOS AFONSOS,,
120054,120054 - UNIVERSIDADE DA FORCA AEREA,,
120057,120057 - CASA GERONTOLOGICA DA AER. BRIG.EDUARDO GOMES,,
120059,120059 - IV COMANDO AEREO REGIONAL,,
120060,120060 - ACADEMIA DA FORCA AEREA,,
120062,120062 - BASE AEREA DE SAO PAULO,,
120064,120064 - ESCOLA DE ESPECIALISTAS DE AERONAUTICA,,
120065,120065 - FAZENDA DE AERONAUTICA DE PIRASSUNUNGA,,
120066,120066 - NÚCLEO DO HOSPITAL DE AERONÁUTICA DE SÃO PAUL,,
120067,120067 - INSTITUTO DE CONTROLE DO ESPACO AEREO,,
120068,120068 - PARQUE DE MATERIAL AERONAUTICO DE SAO PAULO,,
120069,120069 - SERVICO REGIONAL DE PROTECAO AO VOO SAO PAULO,,
120071,120071 - CENTRO LOGISTICO DA AERONAUTICA,,
120072,120072 - SEGUNDO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO,,
120073,120073 - BASE AEREA DE FLORIANOPOLIS,,
120074,120074 - V COMANDO AEREO REGIONAL,,
120075,120075 - BASE AEREA DE CANOAS,,
120076,120076 - BASE AEREA DE SANTA MARIA,,
120080,120080 - BASE AEREA DE ANAPOLIS,,
120081,120081 - BASE AEREA DE PORTO VELHO,,
120082,120082 - BASE AEREA DE MANAUS,,
120083,120083 - VII COMANDO AEREO REGIONAL,,
120085,120085 - BASE AEREA DE  BOA VISTA,,
120086,120086 - I COMANDO AEREO REGIONAL,,
120087,120087 - BASE AEREA DE BELEM,,
120088,120088 - COMISSAO DE AEROPORTOS DA REGIAO AMAZONICA,,
120090,120090 - COMISSAO AERONAUTICA BRASILEIRA EM WASHINGTON,,
120091,120091 - COMISSAO AERONAUTICA BRASILEIRA NA EUROPA,,
120093,120093 - SUBDIRETORIA DE PAGAMENTO DE PESSOAL/EXTERIOR,,
120094,120094 - QUARTO CENTRO INT. DEF. AEREA CONTR.TFG.AEREO,,
120096,120096 - HOSPITAL DE FORCA AEREA DE BRASILIA,,
120097,120097 - PREFEITURA DE AERONAUTICA DE SAO PAULO,,
120100,120100 - SUBDIRETORIA DE ABASTECIMENTO,,
120101,120101 - BASE AEREA DE NATAL,,
120127,120127 - COMISSAO DE IMPLANT.DO SIST.DE CONTR.DO E AER,,
120195,120195 - GRUPAMENTO DE APOIO LOGÍSTICO,,
120196,120196 - GRUPAMENTO DE APOIO DA SAÚDE,,
120999,120999 - MAER - DIFERENCA CAMBIAL,,
121002,121002 - SECRETARIA DE ECON. E FIN.DA AER.- F.AER.,,
123001,123001 - CAIXA DE FINANCIAMENTO IMOBIL. DA AERONAUTICA,,
130001,130001 - GABINETE DO MINISTRO/MAPA,,
130005,130005 - COORD.-GERAL DE EXECUCAO FINANCEIRA/SPOA/MAPA,,
130007,130007 - SECRETARIA DE DEFESA AGROPECUARIA/MAPA,,
130010,130010 - COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/DF,,
130011,130011 - INSTITUTO NACIONAL DE METEOROLOGIA,,
130014,"130014 - SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/DF",,
130016,130016 - LABORATORIO NACIONAL AGROPECUARIO/PE,,
130017,130017 - LABORATORIO NACIONAL AGROPECUARIO NO PARA,,
130018,"130018 - SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/TO",,
130020,130020 - SECRETARIA DE RELACOES INTERN.DO AGRONEGOCIO,,
130021,"130021 - SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/PI",,
130022,"130022 - SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/CE",,
130023,"130023 - SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/RN",,
130024,"130024 - SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/PB",,
130025,"130025 - SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/PE",,
130026,130026 - DISTRITO DE METEOROLOGIA DE RECIFE,,
130027,"130027 - SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/AL",,
130028,"130028 - SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/SE",,
130029,"130029 - SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/BA",,
130030,130030 - DISTRITO DE METEOROLOGIA DE SALVADOR,,
130031,130031 - COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/PA,,
